"agglvl_code","agglvl_title"
10,"National, Total Covered"
11,"National, Total -- by ownership sector"
12,"National, by Domain -- by ownership sector"
13,"National, by Supersector -- by ownership sector"
14,"National, NAICS Sector -- by ownership sector"
15,"National, NAICS 3-digit -- by ownership sector"
16,"National, NAICS 4-digit -- by ownership sector"
17,"National, NAICS 5-digit -- by ownership sector"
18,"National, NAICS 6-digit -- by ownership sector"
21,"National, Private, total, by establishment size class"
22,"National, Private, Domain, by establishment size class"
23,"National, Private, by Supersector, by establishment size class"
24,"National, Private, NAICS Sector, by establishment size class"
25,"National, Private, NAICS 3-digit, by establishment size class"
26,"National, Private, NAICS 4-digit, by establishment size class"
27,"National, Private, NAICS 5-digit, by establishment size class"
28,"National, Private, NAICS 6-digit, by establishment size class"
30,"CMSA or CSA, Total Covered"
40,"MSA, Total Covered"
41,"MSA, Total -- by ownership sector"
42,"MSA, by Domain -- by ownership sector"
43,"MSA, by Supersector -- by ownership sector"
44,"MSA, NAICS Sector -- by ownership sector"
45,"MSA, NAICS 3-digit -- by ownership sector"
46,"MSA, NAICS 4-digit -- by ownership sector"
47,"MSA, NAICS 5-digit -- by ownership sector"
48,"MSA, NAICS 6-digit -- by ownership sector"
50,"State, Total Covered"
51,"State, Total -- by ownership sector"
52,"State, by Domain -- by ownership sector"
53,"State, by Supersector -- by ownership sector"
54,"State, NAICS Sector -- by ownership sector"
55,"State, NAICS 3-digit -- by ownership sector"
56,"State, NAICS 4-digit -- by ownership sector"
57,"State, NAICS 5-digit -- by ownership sector"
58,"State, NAICS 6-digit -- by ownership sector"
61,"State, Private, total, by establishment size class"
62,"State, Private, Domain, by establishment size class"
63,"State, Private, by Supersector, by establishment size class"
64,"State, Private, NAICS Sector, by establishment size class"
70,"County, Total Covered"
71,"County, Total -- by ownership sector"
72,"County, by Domain -- by ownership sector"
73,"County, by Supersector -- by ownership sector"
74,"County, NAICS Sector -- by ownership sector"
75,"County, NAICS 3-digit -- by ownership sector"
76,"County, NAICS 4-digit -- by ownership sector"
77,"County, NAICS 5-digit -- by ownership sector"
78,"County, NAICS 6-digit -- by ownership sector"
80,"MicroSA, Total Covered"
91,"Total, all U.S. MSAs"
92,"Total, all U.S. CMSAs or all U.S. CSAs"
93,"Total, all U.S. non-MSA counties"
94,"Total U.I. Covered (U.S.)"
95,"Total Government (U.S.)"
96,"Total Government, by State"
