GeoFips,GeoName,LineCode,Description,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,United States,2,  Private industries,13514214,13747760,14094484,14359460,14745226,15197800,15468414,15836844,16342836,16758341,16231067,17315919
0,United States,12,    Manufacturing,1936229,1946251,1934662,1991638,2023676,2046253,2040256,2106634,2195338,2230859,2129463,2271758
0,United States,14,        Wood product manufacturing,22939,25438,25818,26475,24243,26514,28245,28918,27710,28475,29583,29479
0,United States,15,        Nonmetallic mineral product manufacturing,38725,40550,42713,45226,45835,46383,46058,49169,49043,49430,48326,49845
0,United States,16,        Primary metal manufacturing,50873,56524,65762,69599,68157,74725,79274,70208,70446,77213,85333,76123
0,United States,17,        Fabricated metal product manufacturing,125639,133622,137984,137077,139471,134729,131030,138252,141609,141145,127282,139397
0,United States,18,        Machinery manufacturing,132277,151350,152985,152058,150335,134927,124069,134293,142284,140705,130011,147543
0,United States,19,        Computer and electronic product manufacturing,227089,232689,241263,248443,261213,282299,291043,305856,336767,342724,350447,370701
0,United States,20,"        Electrical equipment, appliance, and component manufacturing",52783,51033,52152,57351,53599,61440,56706,59604,61616,58368,55310,62805
0,United States,21,"        Motor vehicles, bodies and trailers, and parts manufacturing",87142,110442,115766,120652,125338,123342,128922,134089,139466,140497,127808,170431
0,United States,22,        Other transportation equipment manufacturing,124438,129569,126900,130432,133423,139238,137044,140551,145724,150512,132296,143214
0,United States,23,        Furniture and related product manufacturing,22623,22936,22424,23969,25468,27311,27704,27534,28928,27638,26208,28050
0,United States,24,        Miscellaneous manufacturing,84328,82051,81443,79291,80684,77491,82624,86414,90420,88526,84418,95060
0,United States,26,        Food and beverage and tobacco product manufacturing,234026,227105,220057,224680,225398,234706,228135,237648,242116,254392,254210,274895
0,United States,27,        Textile mills and textile product mills,16634,14740,15967,16919,17686,17279,17606,17223,16149,15918,15164,16113
0,United States,28,"        Apparel, leather, and allied product manufacturing",10599,10468,10007,10021,9580,8972,8738,8490,8241,8048,6238,7799
0,United States,29,        Paper manufacturing,55841,53759,53155,53478,53840,54583,53377,48967,51680,53218,56919,56566
0,United States,30,        Printing and related support activities,37560,38587,38441,39098,38725,37592,38188,37731,38738,37543,32184,33755
0,United States,31,        Petroleum and coal products manufacturing,213038,175747,159138,176572,196095,198488,170709,205385,229192,225468,146197,146878
0,United States,32,        Chemical manufacturing,347535,325083,304973,314223,312948,301667,315147,311515,316821,331436,335769,334809
0,United States,33,        Plastics and rubber products manufacturing,67730,66403,67712,67389,67186,74017,75284,75891,79020,77984,73944,76708
1000,Alabama,2,  Private industries,152135.5,155002.4,157292.9,160137.3,158696.2,160232.8,162861.8,165190.4,168715.5,171431.4,167545.5,177627.9
1000,Alabama,12,    Manufacturing,29316.1,32281.1,32058.7,33814.1,32769.8,32209.5,33469.7,34282.6,35304.8,35414.2,33953.9,36062.4
1000,Alabama,14,        Wood product manufacturing,896.7,1070.8,909.5,1070.4,911.7,1034.8,1152.2,1134.6,1160,1263.8,1488.5,1344.4
1000,Alabama,15,        Nonmetallic mineral product manufacturing,731.6,719.4,625.7,748.9,752.7,772.7,735.7,816,769.2,786.5,766.7,758.7
1000,Alabama,16,        Primary metal manufacturing,2665.1,3248,4421,4272,4303,4409.8,4606.2,4624,4673.6,4828.9,5644.1,3881.7
1000,Alabama,17,        Fabricated metal product manufacturing,2061.7,2000.7,2190.8,2253.6,2170.3,2165.9,2315,2391.6,2411.4,2460.6,2194.3,2392.4
1000,Alabama,18,        Machinery manufacturing,983.8,1193.6,1198.2,1135.1,956.3,910.8,862.3,868.9,931,829.8,750.3,826.9
1000,Alabama,19,        Computer and electronic product manufacturing,1217.7,1291.9,1132.9,970.7,1324.9,1191.8,1183,1055.8,1116.6,1203.4,1108,1109.4
1000,Alabama,20,"        Electrical equipment, appliance, and component manufacturing",572.6,570.4,609.6,731.4,666.1,736.3,668.8,689.1,722,653.4,755.6,844.8
1000,Alabama,21,"        Motor vehicles, bodies and trailers, and parts manufacturing",3030.8,4352.7,4705.1,5358.9,5037.6,4953.6,5272.2,5487.9,5717.6,6144.9,5558,7808.3
1000,Alabama,22,        Other transportation equipment manufacturing,3182.1,2523,2443.5,2775.4,2530.8,2979.1,2943.5,3347.3,3535.3,3611.7,2925.2,3738.5
1000,Alabama,23,        Furniture and related product manufacturing,567.6,612.8,558.7,652.9,695.3,784.8,824.5,818,960,771.8,782.9,798.9
