GeoFips,GeoName,LineCode,Description,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,United States,1,All industry total,15648991,15891534,16253970,16553348,16932051,17390295,17680274,18076651,18609078,19036052,18509143,19609812,20014128
0,United States,12,    Manufacturing,1936229,1946251,1934662,1991638,2023676,2046253,2040256,2106634,2195338,2230859,2129463,2271758,2276110
1000,Alabama,1,All industry total,184702.4,187605.8,189245.5,191369.8,189886.3,191335.2,194283.8,196974.9,200372.6,203432.7,199880.8,209979.3,213264.8
1000,Alabama,12,    Manufacturing,29316.1,32281.1,32058.7,33814.1,32769.8,32209.5,33469.7,34282.6,35304.8,35414.2,33953.9,36062.4,36320.8
2000,Alaska,1,All industry total,54601.5,55280.3,58283.6,55354.3,54188.2,54740.8,54246.6,54278.7,53327,53433.8,50705.2,50869.4,49633.7
2000,Alaska,12,    Manufacturing,1322.5,1043.4,992,1354.8,1628.7,1881.1,1762.7,1915.6,1384.2,1477.6,1440.6,1526,1482.7
4000,Arizona,1,All industry total,260307.1,266101.5,271440,273481.9,276948.9,282577,291275.2,303606.1,314827.5,325395.3,327178,347656,356417
4000,Arizona,12,    Manufacturing,22321.4,23561.2,24505.2,22112.4,23810.7,25185.7,25919.7,28333.1,31005.2,32936,32992.2,35890.4,35159
5000,Arkansas,1,All industry total,105662,107932.5,108492.1,110752.4,111734.5,112351,112798.1,113850.2,115885.2,117126.2,117268.2,123347.3,126532.2
5000,Arkansas,12,    Manufacturing,15548.8,16161.7,15251.1,16495,17084,16718.7,16655.3,16709,17549.5,17750.1,17526,18665.2,18710.2
6000,California,1,All industry total,2036015,2063827.5,2113096.4,2179229,2256054.7,2357452.9,2427894.6,2538204,2644061.2,2729225.8,2667220.9,2874730.8,2885627.3
6000,California,12,    Manufacturing,244842.8,232799.9,237967.8,252031.7,265210.3,276452,286669.5,315050.1,338590.8,354360.8,351987.1,378510.6,365225.7
8000,Colorado,1,All industry total,267858.9,271700.6,276823.1,286259.1,298655.3,312409.7,318953.4,329913.3,342733.2,358438.5,353345.2,373763.3,385834.8
8000,Colorado,12,    Manufacturing,21154.4,21247.7,20868.7,21244.1,22144.7,22592.2,22316.9,22190.9,23312.5,24492.7,24724.9,26616.1,25918.5
9000,Connecticut,1,All industry total,244354.7,238542.4,240911.9,236050.6,235780.9,242706.5,243286.7,247035.9,249074.8,251568.2,235234.9,246555.9,252533.3
9000,Connecticut,12,    Manufacturing,30666.9,29398.7,29076.7,29762,28383.3,28053,25710.3,26954.2,29940.9,31353,28404.4,30995.8,31448
10000,Delaware,1,All industry total,60577.2,62919.3,62354.6,60235.8,64940.1,66793.5,63001.3,60357.5,61425.1,64143.5,62281.8,64404.7,65754.8
10000,Delaware,12,    Manufacturing,4459.5,4362.6,3838.8,3954.8,4024.9,4807.2,3979.7,4556.4,4724.3,5361.1,5134.9,5166.3,5105.7
11000,District of Columbia,1,All industry total,109986.5,111646.5,112157,112332.4,114553.6,116808.4,119644.3,120759.4,123680.5,124597.2,122485.3,126983,129268.2
