Category,State, Description,Source
Community/Human Services,Alabama,$13.3 million to faith-based organizations.,State
Community/Human Services,Alabama,$18.4 million to non-profits.,State
Community/Human Services,Alabama,$3.6 million for the Alabama Food Banks Program.,State
Community/Human Services,Alabama,"$757,000 for the Alabama AHEC Program.",State
Community/Human Services,Alaska,$13.1 million for Child Care Facility COVID-ê19 Funding.,State
Community/Human Services,Alaska,$2 million CRF Child Adolescent Services,State
Community/Human Services,Alaska,$2.8 million to CRF Crisis Placement and Stabilization Services.,State
Community/Human Services,Alaska,"$35 million in funding will enable nonprofits to continue providing essential services that prevent or alleviate negative impacts of COVID-19 on the economy, jobs, families and children. Applicants can receive CARES Act funding for a variety of expenses including: medical, public health, payroll, COVID-19 response compliance, economic support or other costs necessary for the function of nonprofit agencies impacted by the COVID-19 pandemic.",State
Community/Human Services,Alaska,"$50.0 million in Non-profit support - Basic essential human services, including, but not limited to: soup kitchens & food banks, nonresidential emergency shelters, religious non-profits, homeless shelters, clothing items, and other entities supporting social welfare. No RPL is required as the Department of Health and Social Services (DHSS) has adequate authorization to accept federal receipts.",Governor
Community/Human Services,Alaska,"$750,000 Expanding Suicide Prevention due to COVID-ê19.",State
Community/Human Services,Arkansas,$1.8 million for Food Insecurity - Hunger Relief Alliance.,State
Community/Human Services,Arkansas,"$100,020 to the Coalition for Tobacco Free Arkansas - to provide education and a media campaign targeting teens and young adults on the importance of wearing masks and social distancing in communities of color.",State
Community/Human Services,Arkansas,"$195,420 to the Department of Health/ Minority Health Commission to Address COVID-19 needs of the Marshallese community.",State
Community/Human Services,Arkansas,"$425,000 to Child Advocacy Centers for COVID-19 related costs.",State
Community/Human Services,Arkansas,$5 million for Community Outreach Investment grants - Winthrop Rockefeller Foundation.,State
Community/Human Services,Arkansas,$5 million for Crisis Stabilization Units - Veterans Mental Health Services/Suicide Prevention.,State
Community/Human Services,Arkansas,"$649,972 to the Department of Parks, Heritage and Tourism for a Public Education campaign.",State
Community/Human Services,Arkansas,$7.7 million to the Department of Commerce for a Forgivable Loan Program for Developmental Disabilities Providers.,State
Community/Human Services,California,$203.9 million for food support programs.,State
